"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"03.11.1994","386.10","386.10","386.10","386.10","","-0.28%"
"02.11.1994","387.20","387.20","387.20","387.20","","-0.05%"
"01.11.1994","387.40","387.40","387.40","387.40","","0.21%"
"31.10.1994","386.60","386.60","386.60","386.60","","-1.43%"
"28.10.1994","392.20","393.30","394.00","391.40","2.36K","0.51%"
"27.10.1994","390.20","391.50","392.00","389.80","24.54K","-0.20%"
"26.10.1994","391.00","390.50","391.30","389.20","31.45K","-0.05%"
"25.10.1994","391.20","391.60","392.10","390.70","15.50K","-0.05%"
"24.10.1994","391.40","391.50","392.00","390.60","14.61K","-0.36%"
"21.10.1994","392.80","393.50","393.80","392.20","17.26K","-0.13%"
"20.10.1994","393.30","392.70","394.50","392.50","29.08K","0.25%"
"19.10.1994","392.30","391.80","393.70","391.80","22.40K","0.26%"
"18.10.1994","391.30","392.10","392.90","391.10","18.45K","-0.20%"
"17.10.1994","392.10","390.70","392.30","390.70","16.73K","0.54%"
"14.10.1994","390.00","389.50","390.50","389.20","19.11K","0.36%"
"13.10.1994","388.60","391.30","391.60","388.10","44.11K","-0.51%"
"12.10.1994","390.60","390.00","391.10","390.00","15.29K","0.10%"
"11.10.1994","390.20","392.20","392.50","388.00","64.32K","-0.81%"
"10.10.1994","393.40","394.50","395.20","393.10","15.85K","-0.10%"
"07.10.1994","393.80","396.10","397.20","392.00","42.92K","-0.33%"
"06.10.1994","395.10","394.70","395.20","393.60","17.68K","-0.03%"
"05.10.1994","395.20","395.40","397.80","394.50","31.85K","-0.13%"
"04.10.1994","395.70","395.50","396.20","394.30","31.27K","-0.63%"
"03.10.1994","398.20","396.20","399.80","395.70","33.06K","0.15%"
"30.09.1994","397.60","398.20","398.70","396.30","25.82K","-0.28%"
"29.09.1994","398.70","398.00","399.50","397.80","21.59K","0.66%"
"28.09.1994","396.10","396.10","396.10","396.10","","-0.90%"
"27.09.1994","399.70","399.70","399.70","399.70","","0.91%"
"26.09.1994","396.10","396.10","396.10","396.10","","-0.48%"
"23.09.1994","398.00","398.00","398.00","398.00","","0.15%"
"22.09.1994","397.40","397.40","397.40","397.40","","0.30%"
"21.09.1994","396.20","396.20","396.20","396.20","","0.13%"
"20.09.1994","395.70","395.70","395.70","395.70","","0.92%"
"19.09.1994","392.10","392.10","392.10","392.10","","0.00%"
"16.09.1994","392.10","392.10","392.10","392.10","","0.44%"
"15.09.1994","390.40","390.40","390.40","390.40","","-0.26%"
